"","metal","site","conc_mean","conc_sd","lower","upper","mass_frac"
"1","As75","A",2867.85797377585,1055.6557864209,1833.33431304771,3902.38163450399,2.86785797377585
"2","As75","B",3093.91704691336,982.505996705804,2232.72839454906,3955.10569927766,3.09391704691336
"3","As75","C",3774.72360471949,1401.34657062943,2546.4117484031,5003.03546103588,3.77472360471949
"4","As75","D",2236.02356067536,517.222392363585,1650.74208013198,2821.30504121874,2.23602356067536
"5","As75","E",4119.13145118612,1733.74540825953,1716.32705943055,6521.93584294169,4.11913145118612
"6","As75","F",3539.38705780535,2439.87055136557,778.464348887502,6300.30976672319,3.53938705780535
"7","Cd111","A",117.160708141432,19.9070859279321,97.6521224134862,136.669293869377,0.117160708141432
"8","Cd111","B",137.624366963979,46.9265003980807,96.4922316146858,178.756502313273,0.137624366963979
"9","Cd111","C",166.306616609713,38.5150459263486,132.547310703926,200.065922515499,0.166306616609713
"10","Cd111","D",138.380541657044,16.0465157255665,120.222533380364,156.538549933724,0.138380541657044
"11","Cd111","E",113.568557678788,7.8945119903598,102.627523319974,124.509592037602,0.113568557678788
"12","Cd111","F",84.3112039597376,40.2168071644513,38.8024387023521,129.819969217123,0.0843112039597376
"13","Cd114","A",249.024521911008,112.765893861626,138.515976584381,359.533067237634,0.249024521911008
"14","Cd114","B",278.668208337066,101.731726365096,189.49805708629,367.838359587841,0.278668208337066
"15","Cd114","C",297.842673027941,147.74541580277,168.340485809954,427.344860245929,0.297842673027941
"16","Cd114","D",203.061423740461,55.4478639724897,140.317411884196,265.805435596727,0.203061423740461
"17","Cd114","E",140.164123033608,30.5384272162609,97.8407999649674,182.487446102248,0.140164123033608
"18","Cd114","F",99.8391306302755,56.1884739653546,36.2570550715699,163.421206188981,0.0998391306302755
"19","Cr52","A",23733.7289768306,7605.0518893204,16280.9150750175,31186.5428786437,23.7337289768306
"20","Cr52","B",16912.8812752483,5061.06283420148,12476.7456217963,21349.0169287003,16.9128812752483
"21","Cr52","C",34009.374979826,16942.3039164151,19159.0637077893,48859.6862518627,34.009374979826
"22","Cr52","D",12967.8935219192,4465.85474970576,7914.39599669581,18021.3910471425,12.9678935219192
"23","Cr52","E",19491.8335087836,8835.60743845372,7246.53136937814,31737.1356481891,19.4918335087836
"24","Cr52","F",11555.3992864963,7996.30207361064,2506.89793463477,20603.9006383578,11.5553992864963
"25","Cr53","A",24472.6205777021,7919.7791265458,16711.3796509311,32233.861504473,24.4726205777021
"26","Cr53","B",17352.3381471278,5238.65857799092,12760.5358211339,21944.1404731217,17.3523381471278
"27","Cr53","C",34947.4305532976,17436.910458591,19663.585498327,50231.2756082682,34.9474305532976
"28","Cr53","D",13322.0261277924,4682.24128511504,8023.66868605375,18620.3835695311,13.3220261277924
"29","Cr53","E",20029.482761161,9200.22182938429,7278.86014295189,32780.10537937,20.029482761161
"30","Cr53","F",11747.3132039738,8117.85693078097,2561.26210983064,20933.3642981169,11.7473132039738
"31","Pb208","A",402301.391549476,316270.769525353,92361.7327332461,712241.050365706,402.301391549476
"32","Pb208","B",356024.869257629,333583.601909836,63631.3230169328,648418.415498326,356.024869257629
"33","Pb208","C",281816.83440317,48726.5471014546,239106.917544278,324526.751262061,281.81683440317
"34","Pb208","D",197491.730507235,106609.847014084,76853.5485140537,318129.912500416,197.491730507235
"35","Pb208","E",120736.445836902,4649.43127336423,114292.781254096,127180.110419709,120.736445836902
"36","Pb208","F",99138.0905164555,67164.6909181372,23135.4844398561,175140.696593055,99.1380905164555
